S	0.05
hi	0.1
how	0.16666666666666666
are	0.2
you	0.20000000000000004
L	0.2
hi	0.20000000000000004
S	0.2
hi	0.2
how	0.2
are	0.2
you	0.19999999999999998
L	0.2999999999999999
good	0.2999999999999999
S	0.2999999999999999
yeah	0.2999999999999999
L	0.2999999999999999
fine	0.2999999999999999
how	0.2999999999999999
are	0.2999999999999999
you	0.2999999999999999
S	0.2999999999999999
cool	0.2999999999999999
cool	0.2999999999999999
Im	0.2999999999999999
ok	0.2999999999999999
inaudible	0.2999999999999999
L	0.2999999999999999
fine	0.2999999999999999
how	0.2999999999999999
are	0.2999999999999999
you	0.2999999999999999
S	0.2999999999999999
cool	0.2699999999999999
cool	0.2
Im	0.04
ok	0.0
inaudible	0.0
S	0.0
yeah	0.0
yeah	0.0
uh	0.0
man	0.0
I	0.0
had	0.0
such	0.0
a	0.0
interesting	0.0
weekend	0.0
just	0.0
remembering	0.5
stuff	0.5
from	0.5
the	0.5
past	0.5
you	0.5
know	0.5
when	0.5
was	0.5
really	0.5
S	0.5
reminded	0.5
my	0.5
time	0.5
in	0.5
high	0.5
school	0.5
and	0.5
stuff	0.5
and	0.5
do	0.5
you	0.5
like	0.5
your	0.5
time	0.5
in	0.5
high	0.5
school	0.5
S	0.5
yeah	0.5
somehow	0.5
not	0.5
all	0.5
of	0.5
it	0.5
S	0.5
yeah	0.5
not	0.5
all	0.5
of	0.5
it	0.5
I	0.5
think	0.5
no	0.5
one	0.5
likes	0.5
it	0.5
really	0.5
right	0.5
there	0.5
is	0.5
always	0.5
something	0.5
there	0.5
is	0.5
always	0.5
something	0.5
a	0.5
problem	0.5
or	0.5
so	0.5
S	0.5
yeah	0.5
somehow	0.5
not	0.5
all	0.5
of	0.5
it	0.5
S	0.5
yeah	0.5
not	0.5
all	0.5
of	0.5
it	0.5
I	0.5
think	0.5
no	0.5
one	0.5
likes	0.5
it	0.5
really	0.5
right	0.5
there	0.5
is	0.5
always	0.5
something	0.5
there	0.5
is	0.5
always	0.5
something	0.5
a	0.5
problem	0.5
or	0.5
so	0.5
S	0.5
yeah	0.5
I	0.5
remember	0.5
I	0.5
was	0.5
I	0.5
moved	0.5
a	0.5
lot	0.5
from	0.5
city	0.5
to	0.5
city	0.5
and	0.5
then	0.5
I	0.5
moved	0.5
in	0.5
the	0.5
middle	0.5
of	0.5
high	0.5
school	0.5
S	0.5
